Sl_No,GEMS_ID    W,STATE,DISTRICT,BLOCK,LOCATION,LONGITUDE,LATITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U_ppb_
1,W193530074180001,Maharashtra,Ahmednagar,SANGAMNER,Kokangaon,74.3,19.59166667,2022,7.9,1315,0,518.7,120.5,61.6,18.2,,465,80.2,64.4,88.3,1.6,0.53,,,2
2,W192600074540001,Maharashtra,Ahmednagar,NEVASA,Vadala Bhairoba,74.9,19.43333333,2022,7.55,1513,0,292.9,191.4,187.4,63.7,,510,116.2,53.5,96.4,7.2,0.18,,,2
3,W192400075180001,Maharashtra,Ahmednagar,SHEVGAON,Ghotan,75.3,19.4,2022,7.36,6611,0,756.6,1201.8,824.4,200.4,,1900,348.7,250.3,380.4,450,0.11,,,9
4,W191640074134001,Maharashtra,Ahmednagar,SANGAMNER,Bote,74.22777778,19.27777778,2022,7.97,1276,0,305.1,102.8,79.5,200.1,,425,76.2,57.1,87.7,2.1,0.31,,,1
5,W193130073553001,Maharashtra,Ahmednagar,AKOLA,Rajur,73.925,19.525,2022,7.85,638.4,0,323.4,24.8,18.4,11.1,,290,50.1,40.1,15.7,0.3,0.2,,,1
6,W193400074131501,Maharashtra,Ahmednagar,SANGAMNER,Sangamner,74.22083333,19.56666667,2022,8.14,1810,0,445.4,198.5,124.6,197,,460,80.2,63.2,202.8,5,0.69,,,4
7,W192100074103001,Maharashtra,Ahmednagar,SANGAMNER,Ambikhalsa,74.175,19.35,2022,8.02,950.8,0,378.3,60.3,53.1,38.8,,250,50.1,30.4,104.6,0.8,0.54,,,2
8,W194300074290001,Maharashtra,Ahmednagar,KOPARGAON,Rahata,74.48333333,19.71666667,2022,7.63,3930,0,439.3,904,160.1,200.3,,1025,210.4,121.5,440.4,1.6,0.45,,,7
9,W191400074400001,Maharashtra,Ahmednagar,NAGAR,Dehre,74.66666667,19.23333333,2022,8.08,516.5,0,207.5,49.6,16.3,3.4,,190,60.1,9.7,27.6,1.1,0.24,,,0
10,W190620074375001,Maharashtra,Ahmednagar,NAGAR,Jakhangaon,74.63055556,19.10555556,2022,7.76,3735,0,360,397,890.1,80,,1230,210.4,171.3,297.1,6.1,0.59,,,8
11,W193600074303001,Maharashtra,Ahmednagar,SHRIRAMPUR,Babhuleshwar,74.50833333,19.6,2022,8.11,868.7,0,366.1,53.2,46.6,13.1,,280,60.1,31.6,72.7,0.4,0.6,,,2
12,W185735074322001,Maharashtra,Ahmednagar,PARNER,Supe,74.53888889,18.95972222,2022,7.78,2007,0,421,244.6,141.1,198.4,,470,80.2,65.6,223,9.6,1.25,,,4
13,W185745074482501,Maharashtra,Ahmednagar,NAGAR,Dahigaon,74.80694444,18.9625,2022,7.56,4286,0,366.1,524.7,924.1,200.2,,1000,200.4,121.5,335.5,330.3,0.45,,,10
14,W192120075190001,Maharashtra,Ahmednagar,SHEVGAON,Rakshi,75.31666667,19.35555556,2022,8.12,784.2,0,292.9,56.7,63.5,16.7,,280,60.1,31.6,44.3,6.4,0.56,,,0
15,W192830074371501,Maharashtra,Ahmednagar,RAHURI,Devlali,74.62083333,19.475,2022,7.91,1940,0,482.1,237.5,160,80.3,,455,56.1,76.5,219.5,11.4,0.52,,,3
16,W192300074345501,Maharashtra,Ahmednagar,RAHURI,Malharwadi,74.58194444,19.38333333,2022,7.82,739.9,0,244.1,78,45.7,13.7,,240,40.1,34,58.8,2.4,0.69,,,0
17,W191720074441501,Maharashtra,Ahmednagar,RAHURI,Bambori,74.7375,19.28888889,2022,8.02,492.7,0,183.1,39,38.2,9.1,,190,34.1,25.5,28.2,0.6,0.32,,,0
18,W192345074491501,Maharashtra,Ahmednagar,NEVASA,Sonai,74.82083333,19.39583333,2022,7.89,675,0,286.8,42.5,30.9,9.7,,245,50.1,29.2,36.6,1.1,0.29,,,0
19,W193300075064501,Maharashtra,Ahmednagar,NEVASA,Shirasgaon,75.10138889,19.55,2022,7.99,924.2,0,244.1,109.9,105.6,8.6,,280,60.1,31.6,79.4,4,0.26,,,0
20,W184400075190001,Maharashtra,Ahmednagar,JAMKHED,Jamkhed,75.31666667,18.73333333,2022,7.96,2296,0,622.4,315.5,160.1,46.2,,860,136.3,126.4,116.5,8.2,0.49,,,5
21,W192900074120001,Maharashtra,Ahmednagar,SANGAMNER,Chandanapuri,74.2,19.48333333,2022,7.77,1049,0,274.6,127.6,54,67,,335,64.1,42.5,77.9,1.1,0.31,,,0
22,W183840074534801,Maharashtra,Ahmednagar,KARJAT,Bhitkewadi,74.89666667,18.64444444,2022,7.78,706.8,0,231.9,60.3,45.6,68.4,,240,50.1,27.9,57.6,0.7,0.47,,,0
23,W183800075060001,Maharashtra,Ahmednagar,KARJAT,Pategaon,75.1,18.63333333,2022,7.63,1438,0,366.1,216.2,95.4,18.2,,345,40.1,59.5,149.4,25.4,0.59,,,0
24,W183100074590001,Maharashtra,Ahmednagar,KARJAT,Kolwadi,74.98333333,18.51666667,2022,7.97,2742,0,695.6,475,78.8,65,,465,80.2,64.4,315.7,126.3,0.23,,,4
25,W193100074151001,Maharashtra,Ahmednagar,SANGAMNER,Tambhol,74.25277778,19.51666667,2022,8.25,273.2,0,73.2,46.1,9,4.1,,125,26.1,14.6,6,0.6,0.1,,,0
26,W183700074370001,Maharashtra,Ahmednagar,SHRIGONDA,Vadegaon Madhe,74.61666667,18.61666667,2022,7.51,2068,0,207.5,354.5,299,60.1,,740,102.2,117.9,109.9,0.9,0.26,,,3
27,W190821074231401,Maharashtra,Ahmednagar,PARNER,Takli-Dhogeswar-1,74.38722222,19.13916667,2022,8.03,757.1,0,366.1,42.5,20.5,4.5,,225,40.1,30.4,67.2,1.8,0.75,,,0
28,W192505075051501,Maharashtra,Ahmednagar,NEVASA,Kokona-1,75.0875,19.41805556,2022,7.53,1965,0,299,301.3,159.6,195.3,,760,146.3,96,89,0.9,0.39,,,2
29,W190005074550002,Maharashtra,Ahmednagar,NAGAR,Chichondi Patil,74.91666667,19.00138889,2022,7.77,1298,0,280.7,187.9,119.8,20,,405,70.1,55.9,96.1,1.8,0.37,,,1
30,W192119074522401,Maharashtra,Ahmednagar,NEVASA,Ghodegaon-1,74.87333333,19.35527778,2022,8.18,838.8,0,305.1,60.3,74.6,7.2,,225,40.1,30.4,85.6,0.8,0.44,,,1
31,W193531074285501,Maharashtra,Ahmednagar,KOPARGAON,Loni-Pravara Nagar,74.48194444,19.59194444,2022,7.83,1386,0,353.9,195,109,35.3,,460,82.2,62,98.9,0.6,0.35,,,2
32,W191617074510701,Maharashtra,Ahmednagar,NAGAR,Khosepuri-1,74.85194444,19.27138889,2022,7.88,992.1,0,451.5,60.3,44.7,16.1,,330,56.1,46.2,74.8,2.6,0.63,,,1
